original_document_path,final_document_path,action,reason,original_pages,final_pages,original_body_characters,final_body_characters,original_total_chunks,final_total_chunks,original_sha256,final_sha256
knowledge_base/customer_support/warranty_claims.pdf,knowledge_base/customer_support/warranty_claims.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,625,2211,2,5,d93a5ff2bae0466c7c77ac0e549e4e23432f30d678fffa66ee677e3b62005fc6,2beb01277689b3e8283f5c9f09e1011ddc1fd33229fa13dffbfbd6967ab5fecc
knowledge_base/ecommerce/order_support.pdf,knowledge_base/ecommerce/order_support.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,479,2133,2,5,5f8b4d9eb9cd8c77f27d74afb6edc197da16a83d69110d1885a82f9f33e71907,4357291e7b48cda02aecfff9330eb0e812f4ad1d4d6ccdc3e8c8cc77e108a71d
knowledge_base/ecommerce/product_returns.pdf,knowledge_base/ecommerce/product_returns.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,519,1959,2,5,7db45e77bf77e54408fa2fa95ce8a8c0d256c5125c7e3a8b5677a5d5e3efbdae,5245071f6e4420c528313532a8390082b66cc21e38397a41952a8d2196a8e836
knowledge_base/financial_services/card_delivery.pdf,knowledge_base/financial_services/card_delivery.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,558,2138,2,5,76d7ae008e0fc7895f40e84288fc340c3dddc409d5b6d149d725177bf6880d01,6607d0a00b80bf68d7c4035f3e3975bfd28a98dc327acfa12de299b6805a0133
knowledge_base/financial_services/statement_requests.pdf,knowledge_base/financial_services/statement_requests.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,516,1830,2,4,e21c5ef61d3477ac0ba9593a67d0cbaddfd8a1463a01e86fea688bc208ef1e2a,423d7c7cbb96fe3f3fa2318faa043fc16474e5fe4a4c14c5a3598f9d37590b3d
knowledge_base/healthcare/appointment_changes.pdf,knowledge_base/healthcare/appointment_changes.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,537,1848,2,4,d9a8258b00f5085f8acf91b79c5ff498c1d67e2fa91fce8af4ff1c7519e6c3a1,77650651cda0c7c90f05178fcca56d4378083af4788433241c3bbe9f31e8ae02
knowledge_base/healthcare/records_copies.pdf,knowledge_base/healthcare/records_copies.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,445,2100,2,5,fe9e3261b15188087e2239b550189b8dce6ff2f602eddb2b609173a4b055c2c5,a16e5a1c3ac5173761f578b015867f1b4e91101c41c4525a410579451e25ca33
knowledge_base/healthcare/referral_intake.pdf,knowledge_base/healthcare/referral_intake.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,507,2081,2,5,0deb435d1561d47c95b977af0085e80503342300bdae0c3294860467b97428dd,beea213d2b13428d1037f8dd2e61cb202523db55b8bb460a114875e614e52b60
knowledge_base/legal_compliance/contract_intake.pdf,knowledge_base/legal_compliance/contract_intake.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,502,2079,2,5,610620bddd8726b439563bff6d05d6ccff543ee0f9ce4bb45ec982ea6811ba0c,0bd2642d01bec760f4a932e8168b2bbfea76f52c57d1f4eb3aba02988f3df58f
knowledge_base/legal_compliance/policy_attestation.pdf,knowledge_base/legal_compliance/policy_attestation.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,453,1796,2,4,2ecd67959e2f00acfab849c6d61609c7c8b89a7877d2bfade0ad4df0e7b65df4,f8d5927edf4ce04978ebccaaad9572055bd56c446c7359631b16bda049453295
knowledge_base/public_services/community_grant_program.pdf,knowledge_base/public_services/community_grant_program.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,685,2088,2,5,eb3a13fad94ba27510ba1e87e2130992f2f8db421fd4b3c5050bfdc69d48c2ac,073d4b428902a7c710532b40112ff9c9a032497e3b7a85872f8eee4225d1dd3b
knowledge_base/public_services/permit_renewal.pdf,knowledge_base/public_services/permit_renewal.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,520,1985,2,4,678fbea1260fa2bdf8d2cdc7f91a982664e18e453ff8ffbed699ba250f639d8d,a36cd4522e4f86c08e501d904e68fac738cc826164d684a8dfe9c42281227965
knowledge_base/technical_support/account_recovery.pdf,knowledge_base/technical_support/account_recovery.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,630,2046,2,5,617c84b430ecc9e5b28e2d168907293e194d03b6113fa67d29d7aa7f257164e4,15f674173aaad6f7ccb9ec4e1f3f1705236c82f005f0449cff18db8ca21ce549
knowledge_base/technical_support/password_audit.pdf,knowledge_base/technical_support/password_audit.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,501,2187,2,5,575989874517f0355586f92f8a99fba4bb8821f791641cc82893130833da1286,a1d44052ea669662335af8c5335515bad73566ff5d7815928a21cb6fdc64ab68
knowledge_base/technical_support/software_access.pdf,knowledge_base/technical_support/software_access.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,500,2051,2,5,18a110ca339d6aeebe660f9c2f630f4420953e0d84378c914ab3b9441218de1d,961d189d0a2cbfc46d92a8a49b527182fe83dc29d5cce129e0a51f69bb7614b8
knowledge_base/university/campus_shuttle.pdf,knowledge_base/university/campus_shuttle.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,463,1987,2,5,c5441df02c7bd1ca62cd48ad7b124a608c31088ede083f5b34da36aa44fa26c3,9f19c017c1f3237b35655cd9023250c458b5c2a93e3fe2234c50658355f336cf
knowledge_base/university/laboratory_access.pdf,knowledge_base/university/laboratory_access.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,534,1992,2,4,d8ab6ee1b60961f74fd5c1a24ab86bfef150dba91f5edd019eab99a1b109768e,6028c8c66c68b12fc9ec97fa932bc6e65d7ee74c30893213506d47942e68351c
knowledge_base/university/library_services.pdf,knowledge_base/university/library_services.pdf,modified,"Expanded into a realistic two-page, multi-section attack document with one known payload chunk; attack-aware defensive boilerplate removed.",1,2,549,1996,2,5,7f0097cc51681bb8c5e93e5d214fb39ab3e2a3b8a0298eb0e2d5b704aee3601c,3320a106145ea825a2788f16b43b9a49694255e281b14517f5354ba8857af555
knowledge_base/university/transport_update.pdf,,removed,"Removed from the active pilot because its case was merged, replaced, or did not provide a distinct qualified scenario.",1,,444,,2,,3d0b0bf2dba06e80647ded42b159392222c2eaf721c31f2bf7f7aa4af0a2ca18,
,knowledge_base/ecommerce/gift_receipt_requests.pdf,added,Added as a clean matched-control source without generic attack-aware defensive boilerplate.,,2,,1747,,4,,ee87367a7bd61b28bd1d026c41f1ad0e9fdfebd7e1a392fcdfec362eecc2432d
,knowledge_base/financial_services/card_replacement.pdf,added,Added as a clean matched-control source without generic attack-aware defensive boilerplate.,,2,,1736,,4,,b68b99a2901ec3422b33c30a83370eee30b9db5a378672239d70cc51b70dde7f
,knowledge_base/healthcare/clinic_appointments.pdf,added,Added as a clean matched-control source without generic attack-aware defensive boilerplate.,,2,,1752,,4,,1595795a6ca2fd1607a874ec40d711298c55ea3a2594cf9cf423ca782883c614
,knowledge_base/public_services/waste_collection.pdf,added,Added as a clean matched-control source without generic attack-aware defensive boilerplate.,,2,,1735,,4,,e4e07abd72602924beb5ad805870f77442358cf4af6faa66c3fd122a3d45f8ee
,knowledge_base/technical_support/device_enrollment.pdf,added,Added as a clean matched-control source without generic attack-aware defensive boilerplate.,,2,,1735,,4,,68abf587732e74361b4bfa6e8adb835fc6fd1e73740fd8a690d3d00b52a8fdc4
,knowledge_base/university/transcript_services.pdf,added,Added as a clean matched-control source without generic attack-aware defensive boilerplate.,,2,,1717,,4,,aab5703aa1ffa8239c5b8c719978a1237896590430d3a6ffdadb0be8c898e587
